source_row,title,classification,priority,reason,review_status,python_rule_candidate,notes
1,Acting Senior Support Worker,HARD_PASS,3,senior/lead/team leader/deputy role,STABLE,YES,
2,Administration & Sales Support Assistant,HARD_PASS,3,manager/coordinator/officer/admin/business support,STABLE,YES,
3,Administrative Support Assistant,HARD_PASS,3,manager/coordinator/officer/admin/business support,STABLE,YES,
4,Adult Support Worker,HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
5,"Adult Support Workers - Shaftesbury, Dorset",HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
6,Agency Support Worker,ELASTIC_FIT,2,demoted from HC in V10 cleanup: elastic modifier: agency,STABLE,YES,
7,ALN Support Worker,HARD_PASS,3,education/school/SEN/SEMH/teacher,STABLE,YES,
8,ASD Support Assistant - Thatcham,HARD_PASS,3,education/school/SEN/SEMH/teacher,STABLE,YES,
9,Assistant Housing support worker,HARD_PASS,3,housing/homelessness/tenancy,STABLE,YES,
10,Autism Practitioner (Support Workers),HIGH_CONFIDENCE,1,autism practitioner explicitly labelled support worker,STABLE,YES,
11,"Autism Practitioners (Support Worker) - Ridgepark, Lanark",HIGH_CONFIDENCE,1,autism practitioner explicitly labelled support worker,STABLE,YES,
12,Autism Practitioners (Support Workers),HIGH_CONFIDENCE,1,autism practitioner explicitly labelled support worker,STABLE,YES,
13,Autism Support Assistant,ELASTIC_FIT,2,support assistant/practitioner; adjacent to support-worker search term,REVIEW,NO - review first,
14,Autism Support Worker,HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
15,Autism Support Worker - Thatcham,HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
16,Bank - Childrens Residential Support Worker,ELASTIC_FIT,2,"demoted from HC in V10 cleanup: elastic modifier: bank, residential",STABLE,YES,
17,Bank Care Support Worker - Chaplin,ELASTIC_FIT,2,demoted from HC in V10 cleanup: elastic modifier: bank,STABLE,YES,
18,Bank Female Care Support Worker - Hockers Lane,ELASTIC_FIT,2,demoted from HC in V10 cleanup: elastic modifier: bank,STABLE,YES,
19,Bank Female Support Worker - Cozenton,ELASTIC_FIT,2,demoted from HC in V10 cleanup: elastic modifier: bank,STABLE,YES,
20,Bank Healthcare Support Worker,ELASTIC_FIT,2,demoted from HC in V10 cleanup: elastic modifier: bank,STABLE,YES,
21,Bank Housing Support Worker,HARD_PASS,3,housing/homelessness/tenancy,STABLE,YES,
22,Bank Mental Health Recovery Support Worker - Hereford,ELASTIC_FIT,2,demoted from HC in V10 cleanup: elastic modifier: bank,STABLE,YES,
23,Bank Recovery Support Worker - Mental Health - Morecambe Coach House,ELASTIC_FIT,2,demoted from HC in V10 cleanup: elastic modifier: bank,STABLE,YES,
24,Bank Residential Care Worker,ELASTIC_FIT,2,residential childcare/care worker without support-worker wording,REVIEW,NO - review first,
25,Bank Residential Support Worker,ELASTIC_FIT,2,"demoted from HC in V10 cleanup: elastic modifier: bank, residential",STABLE,YES,
26,Bank SEN Adult Support Workers - Day or Night 0063,HARD_PASS,3,education/school/SEN/SEMH/teacher,STABLE,YES,
27,Bank SEN Children's Support Workers- Day or Night 0059,HARD_PASS,3,education/school/SEN/SEMH/teacher,STABLE,YES,
28,Bank Support Worker,ELASTIC_FIT,2,demoted from HC in V10 cleanup: elastic modifier: bank,STABLE,YES,
29,Bank Support Worker - Doncaster,ELASTIC_FIT,2,demoted from HC in V10 cleanup: elastic modifier: bank,STABLE,YES,
30,Bank Support Worker - Hamilton and Blantyre,ELASTIC_FIT,2,demoted from HC in V10 cleanup: elastic modifier: bank,STABLE,YES,
31,Bank Support Worker (Night Shift),ELASTIC_FIT,2,demoted from HC in V10 cleanup: elastic modifier: bank,STABLE,YES,
32,Bank Support Worker/ Bank Waking Night Support Worker,ELASTIC_FIT,2,"demoted from HC in V10 cleanup: elastic modifier: bank, waking night, night support",STABLE,YES,
33,Behavior Support Assistant - Slough,ELASTIC_FIT,2,support assistant/practitioner; adjacent to support-worker search term,REVIEW,NO - review first,
