market,display_reference,title,decision,reason,salary_bucket,jobg8_classification,description_excerpt
London,1860657,Alternative Investments Legal Assistant,LIKELY_IN,family title is a strong inclusion signal,missing/unknown,Legal,"<p></p> <p>Legal Assistant - Alternative Investments (12 month FTC)</p> <p>Ryder Reid Legal is working with a leading international law firm to recruit a Legal Assistant to join its Alternative Investments team on an initial 12-month fixed-term contract.</p> <p>This is an excellent opportunity to gain exposure to sophisticated investment funds work, supporting lawyers on a broad range of matters across the private equity, hedge fund and real estate funds space. The successful candidate will join a collaborative and fast paced team, providing both transactional and administrative support on complex, high-profile matters.</p> <p>Key Details:</p> <ul> <li>Contract: Initial 12-month fixed-term c"
London,1860484,Residential Real Estate Paralegal,LIKELY_IN,family title is a strong inclusion signal,missing/unknown,Legal,<p></p> <p>Residential Real Estate Paralegal - 12 month fixed term contract</p> <p></p> <p>Ryder Reid Legal is working with a leading law firm who is seeking a Residential Real Estate Paralegal to join their well-regarded and busy team on an initial 12-month fixed-term contract.</p> <p>This is an excellent opportunity to gain hands-on experience in a supportive and dynamic environment while working on a wide range of residential property matters.</p> <p>Key Details:</p> <ul> <li>Contract: Initial 12-month fixed-term contract</li> <li>Applicants must have prior experience in property/real estate</li> <li>Hybrid working and a competitive annual salary on offer</li> <li>Prior experience in comm
London,1858337,Public Law Solicitor - London,OUT_SPECIALIST,specialist/senior title boundary,missing/unknown,Legal,"<p><strong>Public Law Solicitor x2 - City of London</strong></p> <p><strong>A Legal500, Leading law firm looking to recruit dedicated and experienced Public Law Solicitors for highly sought permanent position. </strong></p> <p><strong>Gemini Recruitment </strong>are currently partnering with a large and established law firm. Our client serves corporate entities and private individuals in over 25 practice areas from offices throughout London and across England and Wales. Our client's accomplishments are acknowledged and recommended in The Legal 500 and Chambers and Partners, as a top tier firm.</p> <p>Our client holds the Investors in People Gold Accreditation Quality Standard Mark and is LEX"
London,1873813,Legal PA / Private Wealth / Famous UK firm / &;50k + 3:2!,LIKELY_IN,family title is a strong inclusion signal,"£40k–£50,000",Legal,"<p><strong>Legal PA - Private Client</strong></p> <p><strong><em>Much loved Law firm with a host of famous clients! </em></strong></p> <p></p> <p><strong>Salary:</strong> up to £50,000</p> <p><strong>Hybrid:</strong> 2 days from home</p> <p><strong>Location:</strong> London</p> <p><strong>Benefits</strong>: Excellent list including 26 days AL, free weekly PT and Yoga, free online GP service with 24/7 online GP consultation (think of all the time you'll save not on hold at your local surgery), Private Medical/ Dental insurance and many more!</p> <p></p> <p>This flourishing central London practice is looking to add a Legal PA who's adept at supporting at Partner level. This is a varied, client"
London,1873433,Legal Secretary - Claimant Litigation - &;40k - Hybrid 3:2,LIKELY_IN,family title is a strong inclusion signal,£30k–£40k,Legal,"<p><strong>Legal Secretary - Claimant Litigation</strong> </p><p><strong>City of London Hybrid - 3 days office / 2 days remote Up to £40,000</strong></p> <p>An exciting opportunity for an experienced <strong>Legal Secretary</strong> to join a growing London legal team, supporting lawyers within <strong>Claimant Litigation</strong>.</p> <p>This is a great opportunity for someone with around <strong>2 years' legal secretarial experience</strong> who is looking for a supportive team, excellent hybrid working and the chance to develop their litigation experience.</p> <p><strong>The Role</strong> </p><p>You'll provide day-to-day secretarial and administrative support to lawyers, including:</p> <u"
London,1873421,Real Estate Paralegal,LIKELY_IN,family title is a strong inclusion signal,missing/unknown,Legal,"<p>A boutique London law firm is seeking a Private Client Paralegal to join its growing team.</p> <p>This is an excellent opportunity for a Private Client Paralegal with at least 1 year's experience to develop their career within a supportive and collaborative environment, working closely with senior lawyers and gaining direct client exposure from day one.</p> <p>The successful Private Client Paralegal will support a broad range of private client matters while receiving excellent mentoring and clear long-term progression opportunities.</p> <p><strong>The Private Client Paralegal role:</strong></p> <ul> <li>Attending client meetings and taking instructions</li> <li>Managing client onboarding "
London,1876218,Legal PA,LIKELY_IN,family title is a strong inclusion signal,missing/unknown,Legal,"<p>We are recruiting for an experienced Legal PA to join the Private Client team of a leading international law firm on a 12-month fixed-term contract.</p> <p>The team advises high-net-worth individuals, families, entrepreneurs, trustees and family offices on a wide range of private wealth matters, including Wills, succession planning, trusts, estates and international wealth structuring.</p> <p><strong>The Role</strong></p> <p>You will provide comprehensive PA and administrative support to Partners and Fee Earners, helping to ensure the smooth running of a busy Private Client practice.</p> <p><strong>Key responsibilities include:</strong></p> <ul> <li>Managing complex diaries, meetings and "
London,1876181,Paralegal - Charging of Property,LIKELY_IN,family title is a strong inclusion signal,£30k–£40k,Legal,"<p><strong>Paralegal - (Charging of Property)</strong></p> <p><strong>Location : London Bridge</strong></p> <p><strong>Salary : £33,500 - £35,000</strong></p> <p><strong>FTC until 28 Feb 2027</strong></p> <p>Hyde is looking for a Paralegal (Charging of Property) to join our collaborative and values-driven team. This is a fantastic opportunity to grow your career in a supportive environment that champions employee wellbeing, continuous learning, and long-term development.</p> <p>As a Paralegal (Charging of Property) at Hyde, you will provide legal support to lawyers and internal teams on property matters, with a focus on preparation of Hyde's property assets for charging. You will assist with"
London,1873351,Legal Secretary - Family/Litigation,LIKELY_IN,family title is a strong inclusion signal,missing/unknown,Legal,"<p><strong>My client is recruiting for a Legal Secretary with at least 6 months' experience within a legal environment to join their well-established Litigation and Family Law department in Woodford, London.</strong></p> <p>This is an excellent opportunity for someone looking to build their career within a busy and supportive team, providing high-quality secretarial and administrative support to fee earners across both Litigation and Family matters.</p> <p><strong>The ideal candidate will have the following:</strong></p> <p>• At least 6 months' experience working within a legal secretary or legal administration role </p> <p>• Previous experience within Litigation and/or Family Law is desirab"
London,1873350,Litigation Legal Assistant,LIKELY_IN,family title is a strong inclusion signal,missing/unknown,Legal,"<p><strong>My client is seeking a Litigation Legal Assistant to join their busy Litigation department in Bexleyheath, Greater London.</strong></p> <p>This is an excellent opportunity for someone with previous legal support experience, or a Law graduate looking to develop their career, to work alongside experienced fee earners on a varied caseload while gaining exposure to a broad range of litigation matters.</p> <p><strong>The Role</strong></p> <p>You will provide administrative and legal support to the Litigation team, including:</p> <p>• Opening new client files and completing conflict, identification and verification checks </p> <p>• Assisting with client enquiries by telephone, email and"
