title,classification,review_status,reason,proof_count,proof_regions_seen,example_job_ids,notes
Business Development Executive,HIGH_CONFIDENCE,APPROVED_PROOF_2026-08-21,Direct office/phone-led business development title within agreed Customer Sales boundary,2,Hampshire; Greater Manchester - Manchester & Salford,107389072; fcf2e079-d798-4f6d-8157-849c7b544577,Still subject to field/event/self-employed refinement
Internal Sales Executive,HIGH_CONFIDENCE,APPROVED_PROOF_2026-08-21,Direct internal sales title within agreed office/customer-led boundary,2,Hampshire; Yorkshire - West,23643_225435473; d5c74a27-8231-43bf-b5b3-075136db9f01,Sales and Service Admin overlap remains valid
Sales Executive,REVIEW_CONTEXT_DEPENDENT,APPROVED_WITH_REFINEMENT_2026-08-21,Generic title can be valid office sales or excluded automotive/showroom/field sales so advert context is mandatory,2,Hampshire; Yorkshire - West,107759279; 7035088a-3232-4f3e-82a8-4d277efd40d8,Proof also found an automotive Sales Executive with the same generic title; do not exact-title auto-approve
French speaking Customer Service - Golf sector,ELASTIC_FIT,APPROVED_PROOF_2026-08-21,Customer-service title with explicit inbound/outbound sales and upsell evidence,1,Hampshire,12363982-eb5f-4819-9e6f-aa37a5c81ec1,Legitimate Sales + Service Admin crossover
Sales Executive - German Speaking,HIGH_CONFIDENCE,APPROVED_PROOF_2026-08-21,Sales-led office title with new-business responsibility,1,Greater Manchester - Manchester & Salford,107799162,Still subject to contextual hard exclusions
Temporary Outbound Sales Executive,HIGH_CONFIDENCE,APPROVED_PROOF_2026-08-21,Explicit outbound sales role using warm leads and upsell activity,1,Greater Manchester - Manchester & Salford,23643_225512046,Strong family fit
Customer Service Representative,ELASTIC_FIT,APPROVED_PROOF_2026-08-21,Customer-service role with explicit sales opportunities upsell and enquiry-to-booking conversion,1,Greater Manchester - Manchester & Salford,23643_225489378,Legitimate Sales + Service Admin crossover
Netsuite Account Manager,REVIEW_CONTEXT_DEPENDENT,HELD_FOR_NATIONAL_REVIEW_2026-08-21,Commercial account role passes proof evidence but is specialist enterprise ERP/Financial Services and sits near upper family boundary,1,Greater Manchester - Manchester & Salford,69ba10e7-c44c-4ed8-b7d8-497c37f6ed4a,Include in diagnostic but do not convert title to automatic production approval
Temporary Outbound Customer Advisor - Warm Enquiries,ELASTIC_FIT,APPROVED_PROOF_2026-08-21,Customer/advisor title with explicit outbound warm-enquiry conversion to booked and paid,1,Greater Manchester - Manchester & Salford,23643_225473515,Legitimate Sales + Service Admin crossover
Internal Sales Coordinator,HIGH_CONFIDENCE,APPROVED_PROOF_2026-08-21,Internal office-based sales role with outbound calling opportunity generation and conversion,1,Yorkshire - West,b79dda43-6548-42a7-9fea-ce94421b4625,Coordinator wording is acceptable because sales activity is primary
Sales Executives,REVIEW_CONTEXT_DEPENDENT,APPROVED_WITH_REFINEMENT_2026-08-21,Generic plural sales title requires advert context; proof role was inside B2B sales,1,Yorkshire - West,7d3debba-3dcd-4b72-b3e3-5028021f7b48,Do not exact-title auto-approve without refinement
Account Executive,REVIEW_CONTEXT_DEPENDENT,HELD_FOR_NATIONAL_REVIEW_2026-08-21,Account title passes only where strong selling/new-business evidence and office/digital evidence are both present,1,Yorkshire - West,6eb583d0-99e1-4c5c-99f0-ebed4f22f7c0,Proof example is entry-level Sales and Account Support; title alone is insufficient
IT Account Manager,REVIEW_CONTEXT_DEPENDENT,HELD_FOR_NATIONAL_REVIEW_2026-08-21,Commercial account role passes proof evidence but specialist technology selling sits near family boundary,1,Yorkshire - West,ed2bf6d4-8dae-4fa6-a0b8-2f811492b9b0,Include in diagnostic but do not exact-title auto-approve
Sales Representative - Immediate Start,EXCLUDE,PROOF_EXCLUDED_2026-08-21,Advert is field/event/self-employed campaign-style sales outside agreed office/contact-centre/home/hybrid boundary,1,Hampshire,5fd59761-b015-48ef-84b9-b49b71995cff,Context exclusion overrides sales-led title
Strategic Customer Success Manager,EXCLUDE,PROOF_EXCLUDED_2026-08-21,Senior/specialist customer-success role outside Customer Sales proposition,1,Hampshire,d6098b03-d8fd-4fb1-b1c0-517420195220,Senior/specialist exclusion
Audi Sales Executive,EXCLUDE,PROOF_EXCLUDED_2026-08-21,Automotive dealership/showroom car sales is outside agreed Customer Sales boundary,1,Yorkshire - West,48ac331e-441e-47f3-9dd2-8e29b373ef1c,Automotive context exclusion
Part-time Customer Service Administrator,EXCLUDE,PROOF_EXCLUDED_2026-08-21,Customer/service title had no strong sales or conversion evidence,1,Yorkshire - West,8043597e-1b02-4933-9b50-c53e7abaf8b1,Pure service/admin stays outside Sales family
Bournemouth- Sales Executive,REVIEW_CONTEXT_DEPENDENT,PROOF_EXCLUDED_GEO_2026-08-21,Sales title itself may fit but advert title location conflicts with Manchester/Salford routing,1,Greater Manchester - Manchester & Salford,107813958,Geography exclusion rather than family-boundary exclusion
