title,classification,review_status,reason,count_in_feed,west_south_regions_seen,example_towns
Despatch Administrator (Temporary Maternity Cover),ELASTIC_FIT,INITIAL_CLASSIFICATION_2026-06-17,Adjacent warehouse/logistics wording: despatch,1,,Bridlington (1)
Despatch Administrator - Temporary Maternity Cover,ELASTIC_FIT,INITIAL_CLASSIFICATION_2026-06-17,Adjacent warehouse/logistics wording: despatch,1,,Bridlington (1)
Export/Import Administrator,ELASTIC_FIT,INITIAL_CLASSIFICATION_2026-06-17,"Adjacent warehouse/logistics wording: import, export",1,,Sheffield (1)
Logistics Administrator,ELASTIC_FIT,INITIAL_CLASSIFICATION_2026-06-17,Adjacent warehouse/logistics wording: logistics,2,,Sheffield (1); Guildford (1)
Part time Transport Administrator,ELASTIC_FIT,INITIAL_CLASSIFICATION_2026-06-17,Adjacent warehouse/logistics wording: transport administrator,1,,Daventry (1)
Purchasing & Shipping Administrator,ELASTIC_FIT,INITIAL_CLASSIFICATION_2026-06-17,Adjacent warehouse/logistics wording: shipping,1,,Not Specified (1)
Stores & Parts Specialist - Fire & Rescue,ELASTIC_FIT,INITIAL_CLASSIFICATION_2026-06-17,Adjacent warehouse/logistics wording: stores,1,,Gloucester (1)
Supply Chain Administrator,ELASTIC_FIT,INITIAL_CLASSIFICATION_2026-06-17,Adjacent warehouse/logistics wording: supply chain,2,,Camberley (1); Runcorn (1)
Transport Administrator,ELASTIC_FIT,INITIAL_CLASSIFICATION_2026-06-17,Adjacent warehouse/logistics wording: transport administrator,3,,Crewe (1); Wellingborough (1); Northallerton (1)
Transport Administrator (Customs),ELASTIC_FIT,INITIAL_CLASSIFICATION_2026-06-17,Adjacent warehouse/logistics wording: transport administrator,1,,Rugby (1)
Warehouse Administrator,ELASTIC_FIT,INITIAL_CLASSIFICATION_2026-06-17,Adjacent warehouse/logistics wording: warehouse,1,,Crewe (1)
Warehouse Hygienist,ELASTIC_FIT,INITIAL_CLASSIFICATION_2026-06-17,Adjacent warehouse/logistics wording: warehouse,1,,Kettering (1)
General Operative Nights,REVIEW_CONTEXT_DEPENDENT,INCLUDED_FOR_REVIEW_2026-06-17,Adjacent operational wording: operative,1,,Wisbech (1)
Hygiene Operative,REVIEW_CONTEXT_DEPENDENT,INCLUDED_FOR_REVIEW_2026-06-17,Adjacent operational wording: operative,6,,Spalding (1); Hereford (1); Musselburgh (1); Bristol (1); York (1)
Hygiene Operative - Day Shift,REVIEW_CONTEXT_DEPENDENT,INCLUDED_FOR_REVIEW_2026-06-17,Adjacent operational wording: operative,1,,Aylesbury (1)
Hygiene Operative - Immediate Starts,REVIEW_CONTEXT_DEPENDENT,INCLUDED_FOR_REVIEW_2026-06-17,Adjacent operational wording: operative,1,,Wellingborough (1)
Hygiene Operative - Night shift,REVIEW_CONTEXT_DEPENDENT,INCLUDED_FOR_REVIEW_2026-06-17,Adjacent operational wording: operative,1,,Bristol (1)
Hygiene Production Operative,REVIEW_CONTEXT_DEPENDENT,INCLUDED_FOR_REVIEW_2026-06-17,"Adjacent operational wording: operative, production operative",1,,Corsham (1)
Industrial Hygiene Operative,REVIEW_CONTEXT_DEPENDENT,INCLUDED_FOR_REVIEW_2026-06-17,Adjacent operational wording: operative,1,,Edinburgh (1)
Night Hygiene Operative,REVIEW_CONTEXT_DEPENDENT,INCLUDED_FOR_REVIEW_2026-06-17,Adjacent operational wording: operative,1,,Langport (1)
Office Hygiene Operative,REVIEW_CONTEXT_DEPENDENT,INCLUDED_FOR_REVIEW_2026-06-17,Adjacent operational wording: operative,1,,Not Specified (1)
Pharmaceutical Supply Chain Manager,REVIEW_CONTEXT_DEPENDENT,INCLUDED_FOR_REVIEW_2026-06-17,"Warehouse/logistics wording present but senior/management/driver wording also present: supply chain, manager, supply chain manager",1,,Cambridge (1)
Production and Hygiene Operative,REVIEW_CONTEXT_DEPENDENT,INCLUDED_FOR_REVIEW_2026-06-17,Adjacent operational wording: operative,1,,Bristol (1)
Repairs Support Operative,REVIEW_CONTEXT_DEPENDENT,INCLUDED_FOR_REVIEW_2026-06-17,Adjacent operational wording: operative,1,,Not Specified (1)
Weighbridge Administrator,REVIEW_CONTEXT_DEPENDENT,INCLUDED_FOR_REVIEW_2026-06-17,Logistics/yard administration role; include for review,1,,City (1)
