Source,Region / slice,Review date,Potentially suitable before dedupe,Possible additional roles,Possible-role explanation,Access route,Status / decision,Evidence,Notes
North East Jobs,North East — service administrator,2026-07 pilot,Historical pilot completed; exact snapshot count not yet backfilled,,Implemented source; historical additional-role count not yet backfilled.,Public feed/pages,Implemented,Repository external-source pipeline,Approved vacancies are combined with JobG8; latest approved snapshot is retained on JobG8-only days.
VONNE,North East — service administrator,2026-08 implementation,Historical review completed; exact snapshot count not yet backfilled,,Implemented source; historical additional-role count not yet backfilled.,Public listings/detail pages,Implemented,Repository VONNE POC and approved-source files,"Review, dedupe and approval process completed before implementation."
BVSC Charity Jobs West Midlands,Birmingham & Solihull — service administrator,2026-08-04,"2 total review rows: 0 HC, 1 POSS, 1 hard pass",1,One plausible additional role after review.,Public article listing/detail pages,Park — insufficient volume,Draft PR #164,Technically working review-only POC. Do not schedule or publish unless later checks show materially higher volume.
WMJobs,Birmingham & Solihull — service administrator,2026-08-04,"2 plausible roles: 1 HC, 1 POSS; plus 4 diagnostic hard passes",2,Two likely additional roles after comparison.,Public RSS feed only,Park — insufficient volume,Draft PR #165,Search/detail pages block automated access. RSS omits reliable closing dates. No bypass attempted.
jobs.ac.uk,Birmingham & Solihull — service administrator,2026-08-04 preliminary screen,At least 4 plausible admin/support roles visible,4,Preliminary possible count only; not yet deduplicated against JobG8.,Public Birmingham listings,Investigate manually before ETL,Preliminary web review,Meets the initial visible-volume threshold but requires manual classification and JobG8 comparison before coding.
NHS Jobs,UK-wide — service administrator,2026-08-15 full live API review,"2393 live source vacancies; current review output: 580 HC, 1248 POSS, 565 hard pass",,"National pool. 30 confirmed and 339 possible JobG8 duplicates. POSS is intentionally broad pending regional/title/salary selection, so 1828 non-hard-pass rows must not be treated as publishable inventory.",Official NHS Jobs live vacancy feed; External Job Board API route to confirm,Proceed — review-only ETL implemented; production feed/onboarding confirmation pending,2026-08-15 full API review and NHS Jobs Employer Terms clause 10.3,High-volume source now prioritised. Retain strict Ontap selection and consider an NHS concentration cap per regional slice. No live publishing path yet.
jobs.ac.uk / West Yorkshire higher education,West Yorkshire — service administrator,2026-08-04 detailed source assessment,2 clearly suitable currently live roles verified,2,Student Engagement Officer and Alumni Scholarship and Donor Engagement Officer at Leeds Beckett University; neither title appears in the current Ontap repository.,Public regional and employer listings,Park — verified volume below threshold,Current jobs.ac.uk listings and Ontap repository title searches,The earlier preliminary count of 6 included roles that were closed or not clearly within Ontap scope. No ETL justified on the verified count.
Teaching Vacancies GOV.UK,West Yorkshire — service administrator,2026-08-04 detailed source assessment,"12 verified live plausible roles: 9 HC and 3 POSS",12,"No title/employer matches against Ontap's two current West Yorkshire JobG8 vacancies. HC includes administrative assistants at Ryecroft, Pudsey and Woodkirk; Exams Officer at Newsome; Pastoral Administration Assistant at Mirfield; PA to Headteacher at Airedale; and three All Saints business-support posts. POSS includes Exams Manager, Specialist Administrator and Reprographics/Digital Resource Technician.",Public searchable government listings and detail pages,Proceed to bounded review-only ETL POC,Current official Teaching Vacancies pages and current Ontap West Yorkshire JSON,Comfortably clears the volume threshold and covers multiple schools/trusts across Leeds Wakefield Kirklees Bradford and Calderdale. School-sector concentration is noticeable but not overwhelming alongside JobG8; retain HC/POSS review and no publishing until approval.
Kirklees Council and partner vacancies,West Yorkshire — service administrator,2026-08-04 continued initial source sweep,At least 5 currently plausible administration roles,5,"Business Support Officer; Receptionist/Business Support Officer; Business Services Officer; Exams Officer; Business Support Officer — Children's Residential.",Public job board with RSS link,Detailed-assessment candidate but likely overlaps Teaching Vacancies,Current official Kirklees vacancy board,The board includes council schools and partner organisations. Assess Teaching Vacancies first because it covers the whole West Yorkshire slice rather than one district.
Find a job GOV.UK,West Yorkshire — service administrator,2026-08-04 continued initial source sweep,Large mixed-employer admin inventory; reliable current in-scope count not yet established,,Indexed searches show dozens of West Yorkshire admin vacancies but the available snapshots are not current enough for a numeric register entry.,Public searchable government listings,Investigate access and reuse before counting,Official Find a job search pages,Potentially the broadest mixed-employer candidate and closest to another feed; likely duplication with JobG8 and other sources could be substantial. Requires a live current sample and reuse check before ranking.
