decision,job_id,title,company,location,source,automatic_decision,effective_decision,reason,matched_rule,city_key
include,jobg8-23643_225499816,Account Coordinator,Stafforce Recruitment - Agency - Permanent,Hull,JobG8,include,include,Approved conservative Hull launch catchment.,hull,hull-service-administrator-jobs
include,jobg8-23643_225510748,Admin Assistant,KFM Recuitment - Agency - Contract,Hull,JobG8,include,include,Approved conservative Hull launch catchment.,hull,hull-service-administrator-jobs
include,jobg8-23643_225584896,Administrator,Stafforce Ports - Agency - Temporary,Hull,JobG8,include,include,Approved conservative Hull launch catchment.,hull,hull-service-administrator-jobs
include,jobg8-23643_225516073,Executive Assistant,Consortium Professional Recruitment Ltd - Agency - Permanent,Hull,JobG8,include,include,Approved conservative Hull launch catchment.,hull,hull-service-administrator-jobs
include,nhs-5588186,Finance Administrator,Holderness Health,"Hedon, HU12 8JE, HULL, HU12 8JD, Patrington, HU12 0PH, HULL, HU12 0LF, WITHERNSEA, HU19 2PZ, HULL, HU12 9RA, HULL, HU9 5NX",NHS Jobs,include,include,Approved conservative Hull launch catchment.,hull,hull-service-administrator-jobs
include,jobg8-107902261,Graduate Customer Service Coordinator,Consortium Professional Recruitment - Agency - Permanent,Hull,JobG8,include,include,Approved conservative Hull launch catchment.,hull,hull-service-administrator-jobs
include,jobg8-1839877,HR Co-ordinator,Sellick Partnership - Agency - Permanent,Hull,JobG8,include,include,Approved conservative Hull launch catchment.,hull,hull-service-administrator-jobs
include,jobg8-23643_225532268,Quotations & Estimating Coordinator,KD Recruitment - Agency - Permanent,Hull,JobG8,include,include,Approved conservative Hull launch catchment.,hull,hull-service-administrator-jobs
include,jobg8-107894712,Quotations & Estimating Coordinator,KD Recruitment Limited - Agency - Permanent,Hull,JobG8,include,include,Approved conservative Hull launch catchment.,hull,hull-service-administrator-jobs
include,nhs-5570885,Receptionist,The Oaks Medical Centre,"Hull, HU4 6RF",NHS Jobs,include,include,Approved conservative Hull launch catchment.,hull,hull-service-administrator-jobs
include,jobg8-23643_225511107,Sales Administrator,Edwards & Pearce - Agency - Permanent,Hull,JobG8,include,include,Approved conservative Hull launch catchment.,hull,hull-service-administrator-jobs
review,nhs-5591297,Administrator,Hull University Teaching Hospitals NHS Trust,"Cottingham, HU16 5JQ",NHS Jobs,review,review,No approved Hull catchment rule matched; local review required.,fallback,hull-service-administrator-jobs
review,jobg8-23643_225569870,Material Planner/Administrator,Rullion Managed Services - Agency - Contract,Goole,JobG8,review,review,No approved Hull catchment rule matched; local review required.,fallback,hull-service-administrator-jobs
review,jobg8-23643_225499018,Part time Office and Accounts Administrator - Hessle,Office Angels - Agency - Permanent,Hessle,JobG8,review,review,No approved Hull catchment rule matched; local review required.,fallback,hull-service-administrator-jobs
review,jobg8-23643_225527411,Team Administration Assistant,Recruitment Services UK - Agency - Permanent,Cottingham,JobG8,review,review,No approved Hull catchment rule matched; local review required.,fallback,hull-service-administrator-jobs
