title,classification,review_status,reason,count_in_feed,west_south_regions_seen,example_towns
Children's Social Care - Recruitment Call,ELASTIC_FIT,INITIAL_CLASSIFICATION_2026-06-17,Adjacent HR/recruitment wording: recruitment,1,,Wokingham (1)
HR Admin / Ballymena,ELASTIC_FIT,INITIAL_CLASSIFICATION_2026-06-17,Adjacent HR/recruitment wording: hr ,1,,City (1)
Learning and Development Administrator,ELASTIC_FIT,INITIAL_CLASSIFICATION_2026-06-17,Adjacent HR/recruitment wording: learning and development,1,,Carryduff (1)
Learning and Development Administrator (Part-time),ELASTIC_FIT,INITIAL_CLASSIFICATION_2026-06-17,Adjacent HR/recruitment wording: learning and development,1,,City (1)
Compliance Administrator,HIGH_CONFIDENCE,INITIAL_CLASSIFICATION_2026-06-17,Clear HR/recruitment support wording: compliance administrator,1,,Nottingham (1)
HR Administrator,HIGH_CONFIDENCE,INITIAL_CLASSIFICATION_2026-06-17,Clear HR/recruitment support wording: hr administrator,1,,Northwich (1)
Human Resources Administrator,HIGH_CONFIDENCE,INITIAL_CLASSIFICATION_2026-06-17,Clear HR/recruitment support wording: human resources administrator,1,,Lisburn (1)
Recruitment Administrator (Armagh),HIGH_CONFIDENCE,INITIAL_CLASSIFICATION_2026-06-17,Clear HR/recruitment support wording: recruitment administrator,1,,Armagh (1)
Accounts Administrator,REVIEW_CONTEXT_DEPENDENT,INCLUDED_FOR_REVIEW_2026-06-17,Adjacent admin/support wording requiring HR/recruitment context check: administrator,6,,Shrewsbury (1); Norwich (1); Beaconsfield (1); Barnet (1); Waltham Cross (1)
Accounts and Office Administrator,REVIEW_CONTEXT_DEPENDENT,INCLUDED_FOR_REVIEW_2026-06-17,Adjacent admin/support wording requiring HR/recruitment context check: administrator,1,,Sevenoaks (1)
Accounts and Office Assistant (maternity cover),REVIEW_CONTEXT_DEPENDENT,INCLUDED_FOR_REVIEW_2026-06-17,Adjacent admin/support wording requiring HR/recruitment context check: assistant,1,,Hungerford (1)
Accounts Purchasing & Administration Supervisor,REVIEW_CONTEXT_DEPENDENT,INCLUDED_FOR_REVIEW_2026-06-17,Adjacent admin/support wording requiring HR/recruitment context check: administration,2,,Milton Keynes (2)
Admin Assistant,REVIEW_CONTEXT_DEPENDENT,INCLUDED_FOR_REVIEW_2026-06-17,Adjacent admin/support wording requiring HR/recruitment context check: assistant,1,,Ballymena (1)
Admin Officer - Darlington Magistrates Court,REVIEW_CONTEXT_DEPENDENT,INCLUDED_FOR_REVIEW_2026-06-17,Adjacent admin/support wording requiring HR/recruitment context check: officer,1,,Darlington (1)
Admin Officer Belfast City Centre 10th June Start,REVIEW_CONTEXT_DEPENDENT,INCLUDED_FOR_REVIEW_2026-06-17,Adjacent admin/support wording requiring HR/recruitment context check: officer,1,,City (1)
Admin Officer Belfast City Centre ASAP,REVIEW_CONTEXT_DEPENDENT,INCLUDED_FOR_REVIEW_2026-06-17,Adjacent admin/support wording requiring HR/recruitment context check: officer,1,,City (1)
ADMIN OFFICERS -BELFAST CITY CENTRE,REVIEW_CONTEXT_DEPENDENT,INCLUDED_FOR_REVIEW_2026-06-17,Adjacent admin/support wording requiring HR/recruitment context check: officer,1,,City (1)
Administration and Finance Officer,REVIEW_CONTEXT_DEPENDENT,INCLUDED_FOR_REVIEW_2026-06-17,"Adjacent admin/support wording requiring HR/recruitment context check: administration, officer",1,,Spalding (1)
Administration Assistant,REVIEW_CONTEXT_DEPENDENT,INCLUDED_FOR_REVIEW_2026-06-17,"Adjacent admin/support wording requiring HR/recruitment context check: administration, assistant",2,,Antrim (1); Whitehaven (1)
Administration Officer,REVIEW_CONTEXT_DEPENDENT,INCLUDED_FOR_REVIEW_2026-06-17,"Adjacent admin/support wording requiring HR/recruitment context check: administration, officer",2,,Limavady (1); Ballymena (1)
Administration Officer - Learning & Development Administrative Support Officer (Stormont),REVIEW_CONTEXT_DEPENDENT,INCLUDED_FOR_REVIEW_2026-06-17,"Adjacent admin/support wording requiring HR/recruitment context check: administration, officer, support officer",1,,City (1)
Administration Supervisor - Mortgages,REVIEW_CONTEXT_DEPENDENT,INCLUDED_FOR_REVIEW_2026-06-17,Adjacent admin/support wording requiring HR/recruitment context check: administration,2,,Wigston (2)
Administration Support Officer - Finance Newry,REVIEW_CONTEXT_DEPENDENT,INCLUDED_FOR_REVIEW_2026-06-17,"Adjacent admin/support wording requiring HR/recruitment context check: administration, officer, support officer",1,,Not Specified (1)
Administrative Assistant,REVIEW_CONTEXT_DEPENDENT,INCLUDED_FOR_REVIEW_2026-06-17,Adjacent admin/support wording requiring HR/recruitment context check: assistant,1,,Not Specified (1)
Administrative Assistants,REVIEW_CONTEXT_DEPENDENT,INCLUDED_FOR_REVIEW_2026-06-17,Adjacent admin/support wording requiring HR/recruitment context check: assistant,1,,Not Specified (1)
Administrative Support Assistant,REVIEW_CONTEXT_DEPENDENT,INCLUDED_FOR_REVIEW_2026-06-17,Adjacent admin/support wording requiring HR/recruitment context check: assistant,1,,Newtownards (1)
Administrator,REVIEW_CONTEXT_DEPENDENT,INCLUDED_FOR_REVIEW_2026-06-17,Adjacent admin/support wording requiring HR/recruitment context check: administrator,3,,Invergordon (1); City (1); Exeter (1)
Administrator (Part Time),REVIEW_CONTEXT_DEPENDENT,INCLUDED_FOR_REVIEW_2026-06-17,Adjacent admin/support wording requiring HR/recruitment context check: administrator,1,,Coleraine (1)
Administrator - Financial Services,REVIEW_CONTEXT_DEPENDENT,INCLUDED_FOR_REVIEW_2026-06-17,Adjacent admin/support wording requiring HR/recruitment context check: administrator,1,,Not Specified (1)
Administrator / Paraplanner,REVIEW_CONTEXT_DEPENDENT,INCLUDED_FOR_REVIEW_2026-06-17,Adjacent admin/support wording requiring HR/recruitment context check: administrator,1,,Norwich (1)
Aftercare Parts Co-ordinator,REVIEW_CONTEXT_DEPENDENT,INCLUDED_FOR_REVIEW_2026-06-17,Adjacent admin/support wording requiring HR/recruitment context check: co-ordinator,1,,Not Specified (1)
